操作日(年),操作日(月),操作日(日),操作時刻(時),操作時刻(分),操作時刻(秒),取引順番号,摘要,お支払金額,お預り金額,残高,メモ
2024,4,30,4,28,51,201,ＣＳＳ（ソンポヒマワリ　　　　,4227,,386022,
2024,4,30,23,1,57,301,Vデビット　Adobe　1A121001,6480,,379542,
2024,5,1,4,53,46,101,決算お利息 4月分,,5,379547,
2024,5,1,11,51,56,201,Vデビット　ｗｐＸ（自動引落）　1A122001,5280,,374267,
2024,5,2,1,22,37,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A123001,34000,,340267,
2024,5,5,14,52,2,101,セブンATM出金,10000,,330267,
2024,5,6,10,9,17,101,振込 オザワ　ユカリ,30000,,300267,
2024,5,6,10,9,17,102,振込手数料,160,,300107,
2024,5,8,18,53,5,101,Vデビット　イエローハットグループ／ＰＯＳオンライン　1A129001,4400,,295707,
2024,5,8,19,50,20,201,セブンATM出金,30000,,265707,
2024,5,9,18,5,10,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A130001,100000,,165707,
2024,5,10,15,32,24,101,Vデビット　餃子の王将　甲府国母店　1A131001,7115,,158592,
2024,5,11,18,20,18,101,Vデビット　モスバーガー　1A132001,3960,,154632,
2024,5,13,22,15,47,101,Ｅ－ｎｅｔＡＴＭ,30000,,124632,
2024,5,14,3,56,16,101,Vデビット　ZOOM.US 888-799-9666　1A135001,2338,,122294,
2024,5,14,19,8,11,201,Vデビット　WWW.TENORSHARE.COM　1A135002,8980,,113314,
2024,5,19,0,52,3,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A140001,100000,,13314,
2024,5,23,6,0,59,101,Vデビット　ﾗｸﾗｸﾌﾘ-ﾜｲﾌｱｲ　1A144001,3080,,10234,
2024,5,24,9,7,5,101,振込 カ）　エ－トラツク,,882870,893104,
2024,5,24,10,57,24,201,振込 ヤマグチ　カズエ,300000,,593104,
2024,5,24,10,57,24,202,振込手数料,160,,592944,
2024,5,25,15,31,34,101,セブンATM出金,30000,,562944,
2024,5,27,3,52,58,101,ＡＰアプラス　　　　　　　　　,29800,,533144,
2024,5,27,3,56,51,201,ＣＳＳ（ソンポヒマワリ　　　　,4227,,528917,
2024,5,27,3,56,51,301,損害保険ジャパン株式会社　　　,5860,,523057,
2024,5,27,3,56,51,401,東京海上日動　　　　　　　　　,6780,,516277,
2024,5,27,23,34,51,501,セブンATM出金,20000,,496277,
2024,5,27,23,34,51,502,ＡＴＭ手数料,165,,496112,
2024,5,28,11,56,21,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A149001,100000,,396112,
2024,5,29,17,40,2,101,Vデビット　餃子の王将　甲府国母店　1A150001,6457,,389655,
2024,5,30,5,38,34,101,Vデビット　ﾎｸﾄｳｼﾖｳｼﾞ　1A151001,13060,,376595,
2024,5,31,23,20,16,101,Vデビット　Adobe　1A152001,6480,,370115,
2024,6,1,0,33,59,101,決算お利息 5月分,,6,370121,
2024,6,1,11,41,39,201,Vデビット　ｗｐＸ（自動引落）　1A153001,5280,,364841,
2024,6,1,23,38,14,301,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A153002,34310,,330531,
2024,6,2,14,26,1,101,振込 ヤマグチ　カズエ,15000,,315531,
2024,6,2,14,26,1,102,振込手数料,160,,315371,
2024,6,2,15,7,50,201,Vデビット　ブライキングダウンライブ　1A154001,3040,,312331,
2024,6,2,15,45,56,301,Vデビット　ｱﾎﾟﾛｽﾃ-ｼﾖﾝ　1A150002,5000,,307331,
2024,6,3,19,6,18,101,Vデビット　寿司酒場春夏秋冬　1A155001,15540,,291791,
2024,6,6,15,22,23,101,振込 オザワ　ユカリ,30000,,261791,
2024,6,6,15,22,23,102,振込手数料,160,,261631,
2024,6,6,16,3,3,201,セブンATM出金,30000,,231631,
2024,6,7,21,9,42,101,セブンATM出金,10000,,221631,
2024,6,7,21,9,42,102,ＡＴＭ手数料,165,,221466,
2024,6,9,18,44,26,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A161001,100000,,121466,
2024,6,13,16,27,2,101,振込 ツジ　ユカリ,,60000,181466,
2024,6,13,18,12,18,201,振込 オザワ　ムネヒロ,60000,,121466,
2024,6,13,18,12,18,202,振込手数料,55,,121411,
2024,6,14,3,9,49,101,Vデビット　ZOOM.US 888-799-9666　1A166001,2338,,119073,
2024,6,16,16,33,13,101,Vデビット　ＤＭＭ　1A168001,980,,118093,
2024,6,18,12,19,56,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A170001,100000,,18093,
2024,6,20,19,23,14,101,Vデビット　寿司酒場春夏秋冬　1A172001,11920,,6173,
2024,6,23,6,0,56,101,Vデビット　ﾗｸﾗｸﾌﾘ-ﾜｲﾌｱｲ　1A175001,3080,,3093,
2024,6,25,9,13,20,101,振込 カ）　エ－トラツク,,1290245,1293338,
2024,6,25,11,48,44,201,振込 カ）ビジヨンプロ,269500,,1023838,
2024,6,25,11,48,44,202,振込手数料,160,,1023678,
2024,6,25,11,49,27,301,振込 ヤマグチ　カズエ,300000,,723678,
2024,6,25,11,49,27,302,振込手数料,160,,723518,
2024,6,26,2,28,4,101,損害保険ジャパン株式会社　　　,5860,,717658,
2024,6,26,2,28,4,201,東京海上日動　　　　　　　　　,5600,,712058,
2024,6,26,18,11,6,301,Ｅ－ｎｅｔＡＴＭ,40000,,672058,
2024,6,27,3,11,11,101,ＡＰアプラス　　　　　　　　　,29800,,642258,
2024,6,27,3,14,42,201,ＣＳＳ（ソンポヒマワリ　　　　,4227,,638031,
2024,6,27,13,1,36,301,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A179001,100000,,538031,
2024,6,27,18,40,47,401,セブンATM出金,30000,,508031,
2024,6,30,22,46,29,101,Vデビット　Adobe　1A182001,6480,,501551,
2024,7,1,0,35,22,101,決算お利息 6月分,,5,501556,
2024,7,1,11,52,7,201,Vデビット　ｗｐＸ（自動引落）　1A183001,5280,,496276,
2024,7,1,22,28,10,301,セブンATM出金,50000,,446276,
2024,7,2,0,30,37,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A184001,34133,,412143,
2024,7,4,15,54,35,101,ローソンATM出金,100000,,312143,
2024,7,8,17,7,21,101,セブンATM出金,30000,,282143,
2024,7,9,22,19,55,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A191001,100000,,182143,
2024,7,10,16,34,30,101,ローソンATM出金,50000,,132143,
2024,7,14,3,50,42,101,Vデビット　ZOOM.US 888-799-9666　1A196001,2338,,129805,
2024,7,18,20,55,5,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A200001,100000,,29805,
2024,7,23,6,0,57,101,Vデビット　ﾗｸﾗｸﾌﾘ-ﾜｲﾌｱｲ　1A205001,3080,,26725,
2024,7,24,23,46,18,101,セブンATM出金,25000,,1725,
2024,7,24,23,46,18,102,ＡＴＭ手数料,165,,1560,
2024,7,25,15,29,8,101,振込 カ）　エ－トラツク,,953147,954707,
2024,7,26,2,26,43,101,損害保険ジャパン株式会社　　　,5860,,948847,
2024,7,26,2,26,43,201,東京海上日動　　　　　　　　　,5600,,943247,
2024,7,26,18,23,28,301,振込 ヤマグチ　カズエ,300000,,643247,
2024,7,26,18,23,28,302,振込手数料,160,,643087,
2024,7,28,18,13,54,101,セブンATM出金,30000,,613087,
2024,7,28,20,8,23,201,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A210002,100000,,513087,
2024,7,29,3,2,45,101,ＡＰアプラス　　　　　　　　　,29800,,483287,
2024,7,29,3,6,22,201,ＣＳＳ（ソンポヒマワリ　　　　,4227,,479060,
2024,7,31,23,12,58,101,Vデビット　Adobe　1A213001,6480,,472580,
2024,8,1,0,38,51,101,決算お利息 7月分,,6,472586,
2024,8,1,11,41,36,201,Vデビット　ｗｐＸ（自動引落）　1A214001,5280,,467306,
2024,8,2,0,46,25,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A215001,34324,,432982,
2024,8,2,13,21,39,201,セブンATM出金,50000,,382982,
2024,8,3,15,16,46,101,振込 オオトモ　マサオ,17500,,365482,
2024,8,3,15,16,46,102,振込手数料,55,,365427,
2024,8,3,15,18,53,201,振込 カ）ビジヨンプロ,27500,,337927,
2024,8,3,15,18,53,202,振込手数料,160,,337767,
2024,8,8,11,56,12,101,Ｅ－ｎｅｔＡＴＭ,10000,,327767,
2024,8,8,11,56,12,102,ＡＴＭ手数料,165,,327602,
2024,8,9,16,41,44,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A222001,100000,,227602,
2024,8,10,16,20,58,101,振込 カ）ビジヨンプロ,,27500,255102,
2024,8,10,19,6,53,201,ローソンATM出金,40000,,215102,
2024,8,13,18,11,4,101,ローソンATM出金,20000,,195102,
2024,8,13,18,11,4,102,ＡＴＭ手数料,165,,194937,
2024,8,14,3,10,20,101,Vデビット　ZOOM.US 888-799-9666　1A227001,2338,,192599,
2024,8,14,18,17,33,201,Ｅ－ｎｅｔＡＴＭ,40000,,152599,
2024,8,17,15,32,23,101,セブンATM出金,20000,,132599,
2024,8,17,15,32,23,102,ＡＴＭ手数料,165,,132434,
2024,8,19,8,44,57,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A232001,100000,,32434,
2024,8,19,17,26,5,201,セブンATM出金,10000,,22434,
2024,8,19,17,26,5,202,ＡＴＭ手数料,165,,22269,
2024,8,20,2,47,27,101,Vデビット　ＤＭＭ　1A233001,300,,21969,
2024,8,21,10,49,51,101,セブンATM出金,20000,,1969,
2024,8,21,10,49,51,102,ＡＴＭ手数料,165,,1804,
2024,8,22,16,0,42,101,振込 カ）　エ－トラツク,,878853,880657,
2024,8,23,6,0,57,101,Vデビット　ﾗｸﾗｸﾌﾘ-ﾜｲﾌｱｲ　1A236001,3080,,877577,
2024,8,23,11,39,49,201,振込 オオトモ　マサオ,3500,,874077,
2024,8,23,11,39,49,202,振込手数料,55,,874022,
2024,8,23,11,54,46,301,振込 ヤマグチ　カズエ,300000,,574022,
2024,8,23,11,54,46,302,振込手数料,160,,573862,
2024,8,26,2,26,25,101,損害保険ジャパン株式会社　　　,5860,,568002,
2024,8,26,2,26,25,201,東京海上日動　　　　　　　　　,5600,,562402,
2024,8,27,3,13,40,101,ＡＰアプラス　　　　　　　　　,29800,,532602,
2024,8,27,3,17,1,201,ＣＳＳ（ソンポヒマワリ　　　　,4227,,528375,
2024,8,27,9,42,27,301,振込 ヤマグチ　カズエ,100000,,428375,
2024,8,27,9,42,27,302,振込手数料,160,,428215,
2024,8,28,12,51,44,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A241001,100000,,328215,
2024,8,30,14,42,3,101,Ｅ－ｎｅｔＡＴＭ,20000,,308215,
2024,8,30,14,42,3,102,ＡＴＭ手数料,165,,308050,
2024,9,1,0,38,17,101,決算お利息 8月分,,6,308056,
2024,9,1,11,23,58,201,Vデビット　Adobe　1A245001,6480,,301576,
2024,9,1,11,41,1,301,Vデビット　ｗｐＸ（自動引落）　1A245002,5280,,296296,
2024,9,1,17,20,13,401,Vデビット　ブライキングダウンライブ　1A245003,3040,,293256,
2024,9,2,1,46,0,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A246001,34400,,258856,
2024,9,5,0,23,33,101,Vデビット　UberJP_EATS　1A249001,73,,258783,
2024,9,5,0,23,52,201,Vデビット　UberJP_EATS　1A249002,2409,,256374,
2024,9,5,6,25,27,301,Vデビット　UberJP_EATS　1A249001,,73,256447,
2024,9,6,21,1,33,101,セブンATM出金,20000,,236447,
2024,9,9,12,55,46,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A253001,100000,,136447,
2024,9,9,17,53,52,201,セブンATM出金,20000,,116447,
2024,9,9,17,53,52,202,ＡＴＭ手数料,165,,116282,
2024,9,10,20,7,33,101,Ｅ－ｎｅｔＡＴＭ,20000,,96282,
2024,9,10,20,7,33,102,ＡＴＭ手数料,165,,96117,
2024,9,14,3,22,5,101,Vデビット　ZOOM.US 888-799-9666　1A258001,2338,,93779,
2024,9,14,9,21,46,201,振込 オザワ　ムネヒロ,,10000,103779,
2024,9,17,0,6,5,101,Vデビット　X CORP. PAID FEATURES　1A261002,1960,,101819,
2024,9,18,13,13,59,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A262001,100000,,1819,
2024,9,25,9,14,1,101,振込 カ）　エ－トラツク,,1002053,1003872,
2024,9,25,23,26,19,201,振込 ヤマグチ　カズエ,280000,,723872,
2024,9,25,23,26,19,202,振込手数料,160,,723712,
2024,9,25,23,27,20,301,振込 オオトモ　マサオ,44000,,679712,
2024,9,25,23,27,20,302,振込手数料,55,,679657,
2024,9,26,2,28,2,101,損害保険ジャパン株式会社　　　,5860,,673797,
2024,9,26,2,28,2,201,東京海上日動　　　　　　　　　,5600,,668197,
2024,9,27,3,22,58,101,ＡＰアプラス　　　　　　　　　,29800,,638397,
2024,9,27,3,27,3,201,ＣＳＳ（ソンポヒマワリ　　　　,4227,,634170,
2024,9,27,10,52,25,301,振込 カ）ビジヨンプロ,16500,,617670,
2024,9,27,10,52,25,302,振込手数料,160,,617510,
2024,9,27,14,55,40,401,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A271001,100000,,517510,
2024,9,27,15,49,13,501,Vデビット　ﾗｸﾗｸﾌﾘ-ﾜｲﾌｱｲ　1A271002,3080,,514430,
2024,9,27,16,58,37,601,セブンATM出金,50000,,464430,
2024,9,28,20,54,8,101,Vデビット　蔵元居酒屋谷櫻　1A272002,13870,,450560,
2024,9,29,12,14,17,101,Vデビット　小瀬スポーツ公園武道館　1A273001,4150,,446410,
2024,9,29,21,16,5,201,Vデビット　みやこいち本店　1A273002,6950,,439460,
2024,9,30,20,33,39,101,Vデビット　Adobe　1A274001,6480,,432980,
2024,10,1,0,41,17,101,決算お利息 9月分,,5,432985,
2024,10,1,11,40,49,201,Vデビット　ｗｐＸ（自動引落）　1A275001,5280,,427705,
2024,10,1,14,56,24,301,Vデビット　ｱﾄﾞﾌﾟﾘﾝﾄ　1A275002,3930,,423775,
2024,10,1,22,50,14,401,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A275003,34301,,389474,
2024,10,2,13,39,46,101,セブンATM出金,10000,,379474,
2024,10,5,18,4,29,101,ローソンATM出金,50000,,329474,
2024,10,6,2,9,0,101,Vデビット　ﾜﾝｴ-　1A280001,109600,,219874,
2024,10,8,13,58,59,101,セブンATM出金,30000,,189874,
2024,10,9,20,32,9,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A283001,100000,,89874,
2024,10,14,3,39,56,101,Vデビット　ZOOM.US 888-799-9666　1A288001,2338,,87536,
2024,10,15,9,40,16,101,ローソンATM入金,,20000,107536,
2024,10,16,19,49,5,101,Vデビット　X CORP. PAID FEATURES　1A290001,1960,,105576,
2024,10,19,1,53,15,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A293001,100000,,5576,
2024,10,23,6,1,1,101,Vデビット　ﾗｸﾗｸﾌﾘ-ﾜｲﾌｱｲ　1A297001,3080,,2496,
2024,10,25,9,22,18,101,振込 カ）　エ－トラツク,,935788,938284,
2024,10,25,16,22,59,201,振込 ヤマグチ　カズエ,300000,,638284,
2024,10,25,16,22,59,202,振込手数料,160,,638124,
2024,10,25,21,4,44,301,Vデビット　UberJP_EATS　1A299001,2690,,635434,
2024,10,25,21,5,26,401,Vデビット　UberJP_EATS　1A299002,3456,,631978,
2024,10,26,6,42,47,101,Vデビット　ＡＭＡＺＯＮ．ＣＯ．ＪＰ　1A300001,8980,,622998,
2024,10,26,18,42,15,201,セブンATM出金,25000,,597998,
2024,10,26,18,42,15,202,ＡＴＭ手数料,165,,597833,
2024,10,27,19,24,26,101,Vデビット　蕎麦遊膳　初花昭和店　1A301001,10450,,587383,
2024,10,28,4,10,11,101,ＡＰアプラス　　　　　　　　　,29800,,557583,
2024,10,28,4,14,36,201,ＣＳＳ（ソンポヒマワリ　　　　,4227,,553356,
2024,10,28,4,14,36,301,損害保険ジャパン株式会社　　　,5860,,547496,
2024,10,28,4,14,36,401,東京海上日動　　　　　　　　　,5600,,541896,
2024,10,28,14,43,56,501,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A302001,100000,,441896,
2024,10,30,22,58,41,101,Ｅ－ｎｅｔＡＴＭ,20000,,421896,
2024,10,30,22,58,41,102,ＡＴＭ手数料,165,,421731,
2024,11,1,0,38,5,101,決算お利息 10月分,,17,421748,
2024,11,1,1,35,50,201,Vデビット　Adobe　1A306001,7780,,413968,
2024,11,1,11,45,22,301,Vデビット　ｗｐＸ（自動引落）　1A306002,5280,,408688,
2024,11,1,12,22,38,401,セブンATM出金,10000,,398688,
2024,11,1,22,11,42,501,ローソンATM出金,30000,,368688,
2024,11,2,2,53,48,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A307001,33934,,334754,
2024,11,4,19,47,36,101,振込 カ）ビジヨンプロ,110000,,224754,
2024,11,4,19,47,36,102,振込手数料,160,,224594,
2024,11,9,16,34,53,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A314001,100000,,124594,
2024,11,12,12,7,34,101,Vデビット　ＤＭＭ　1A317001,546,,124048,
2024,11,14,4,38,12,101,Vデビット　ZOOM.US 888-799-9666　1A319001,2338,,121710,
2024,11,15,12,34,41,101,Ｅ－ｎｅｔＡＴＭ,20000,,101710,
2024,11,15,12,34,41,102,ＡＴＭ手数料,165,,101545,
2024,11,16,19,49,38,101,Vデビット　X CORP. PAID FEATURES　1A321001,1960,,99585,
2024,11,18,16,16,53,101,振込 オザワ　ムネヒロ,,2000,101585,
2024,11,18,16,23,7,201,Vデビット　GOOGLE JAPAN　1A323003,100000,,1585,
2024,11,22,16,57,16,101,振込 カ）　エ－トラツク,,875909,877494,
2024,11,23,6,1,2,101,Vデビット　ﾗｸﾗｸﾌﾘ-ﾜｲﾌｱｲ　1A328001,3080,,874414,
2024,11,25,14,57,49,101,振込 ヤマグチ　カズエ,300000,,574414,
2024,11,25,14,57,49,102,振込手数料,160,,574254,
2024,11,26,2,30,53,101,損害保険ジャパン株式会社　　　,5860,,568394,
2024,11,26,2,30,53,201,東京海上日動　　　　　　　　　,5600,,562794,
2024,11,26,16,51,21,301,セブンATM出金,25000,,537794,
2024,11,26,16,51,21,302,ＡＴＭ手数料,165,,537629,
