"操作日(年)","操作日(月)","操作日(日)","操作時刻(時)","操作時刻(分)","操作時刻(秒)","取引順番号","摘要","お支払金額","お預り金額","残高","メモ"
"2026","1","12","20","56","27","0000401","Vデビット　WWW.AIRASIA.COM　1A012004","1303","","500748",""
"2026","1","12","20","56","29","0000501","Vデビット　WWW.AIRASIA.COM　1A012005","2710","","498038",""
"2026","1","14","4","6","55","0000101","Vデビット　ZOOM.COM 888-799-9666　1A014001","2484","","495554",""
"2026","1","14","9","14","53","0000201","Vデビット　Ｎｅｘｔ　Ａｉｄ　1A014002","2750","","492804",""
"2026","1","14","9","27","57","0000301","Vデビット　Ｎｅｘｔ　Ａｉｄ　1A014003","7900","","484904",""
"2026","1","14","9","30","25","0000401","Vデビット　Ｎｅｘｔ　Ａｉｄ　1A014004","8800","","476104",""
"2026","1","14","12","14","50","0000501","セブンATM出金","60000","","416104",""
"2026","1","14","16","8","33","0000601","ローソンATM出金","16000","","400104",""
"2026","1","14","16","8","33","0000602","ＡＴＭ手数料","165","","399939",""
"2026","1","15","17","33","9","0000101","Vデビット　ｲｲﾈｾｲｷﾕｳｻｰﾋﾞｽ　1A015001","2893","","397046",""
"2026","1","15","21","18","43","0000201","Vデビット　OPENAI *CHATGPT SUBSCR　1A015002","10850","","386196",""
"2026","1","16","19","49","3","0000101","Vデビット　X CORP. PAID FEATURES　1A016001","6080","","380116",""
"2026","1","17","10","39","52","0000101","セブンATM出金","18000","","362116",""
"2026","1","17","10","39","52","0000102","ＡＴＭ手数料","165","","361951",""
"2026","1","19","1","3","59","0000101","Vデビット　オクトパスエナジー　1A019001","15481","","346470",""
"2026","1","19","1","31","13","0000201","トヨタファイナンス（カブ）　　","61000","","285470",""
"2026","1","19","19","53","16","0000301","Vデビット　ＧＯＯＧＬＥ　ＡＤＳ８５４９１１４２３５　1A019003","10000","","275470",""
"2026","1","20","9","4","8","0000101","Vデビット　ＡＤＳ１３６３７１９６４２　1A020001","100000","","175470",""
"2026","1","20","12","48","58","0000201","Vデビット　NOTTA　1A020003","14220","","161250",""
"2026","1","20","18","10","0","0000301","Ｅ－ｎｅｔＡＴＭ","30000","","131250",""
"2026","1","22","19","24","38","0000101","セブンATM出金","15000","","116250",""
"2026","1","22","19","24","38","0000102","ＡＴＭ手数料","165","","116085",""
"2026","1","23","4","31","6","0000101","Vデビット　ﾗｸﾗｸﾌﾘ-ﾜｲﾌｱｲ　1A023001","3080","","113005",""
"2026","1","23","9","18","39","0000201","振込 カ）ネクストエイド　．．．．．．．．．．．．．．．．ＮＴＴ","","10555","123560",""
"2026","1","23","15","3","2","0000301","振込 カ）　エ－トラツク","","874589","998149",""
"2026","1","23","19","3","6","0000401","Vデビット　ＧＯＯＧＬＥ　ＡＤＳ８５４９１１４２３５　1A023002","25000","","973149",""
"2026","1","23","23","22","43","0000501","セブンATM出金","25000","","948149",""
"2026","1","23","23","22","43","0000502","ＡＴＭ手数料","165","","947984",""
"2026","1","25","0","7","6","0000101","セブンATM出金","28000","","919984",""
"2026","1","25","0","7","6","0000102","ＡＴＭ手数料","165","","919819",""
"2026","1","26","1","43","7","0000101","損害保険ジャパン株式会社　　　","7415","","912404",""
"2026","1","26","1","43","7","0000201","損害保険ジャパン株式会社　　　","5065","","907339",""
"2026","1","26","1","44","47","0000301","ＭＨＦ）ヤチンシユウノウ　　　","63240","","844099",""
"2026","1","26","14","40","0","0000401","Vデビット　サイバーリンク株式会社　1A026001","12030","","832069",""
"2026","1","27","1","58","58","0000101","ＣＳＳ（ソンポヒマワリ　　　　","4227","","827842",""
"2026","1","27","2","1","11","0000201","ＮＳＳ．ＳＥＯキヨウカイカイヒ","8800","","819042",""
"2026","1","27","14","56","43","0000301","セブンATM出金","18000","","801042",""
"2026","1","27","14","56","43","0000302","ＡＴＭ手数料","165","","800877",""
"2026","1","28","12","26","36","0000101","Vデビット　ＡＤＳ１３６３７１９６４２　1A028001","100000","","700877",""
"2026","1","29","17","11","11","0000101","セブンATM出金","15000","","685877",""
"2026","1","29","17","11","11","0000102","ＡＴＭ手数料","165","","685712",""
"2026","2","1","0","15","42","0000101","決算お利息 1月分","","84","685796",""
"2026","2","1","11","40","14","0000201","Vデビット　ｗｐＸ（自動引落）　1A032001","5280","","680516",""
"2026","2","1","22","21","0","0000301","セブンATM出金","60000","","620516",""
"2026","2","2","4","6","19","0000101","Vデビット　ＧＯＯＧＬＥ　ＡＤＳ８５４９１１４２３５　1A033001","42700","","577816",""
"2026","2","2","4","46","19","0000201","Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A033002","34346","","543470",""
"2026","2","2","13","40","51","0000301","セブンATM出金","20000","","523470",""
"2026","2","2","13","40","51","0000302","ＡＴＭ手数料","165","","523305",""
"2026","2","3","23","57","36","0000101","Vデビット　WWW.KARAKUBUY.COM　1A034001","28900","","494405",""
"2026","2","4","11","40","58","0000101","振込 ２３ＳＯＭＰＯヒマワリセイメイホケン（カ","","4227","498632",""
"2026","2","4","12","37","11","0000201","Vデビット　ＭＩＣＲＯＳＯＦＴ＊ＳＴＯＲＥ　1A035003","2740","","495892",""
"2026","2","6","19","33","19","0000101","セブンATM出金","10000","","485892",""
"2026","2","6","19","33","19","0000102","ＡＴＭ手数料","165","","485727",""
"2026","2","7","10","42","45","0000101","セブンATM出金","10000","","475727",""
"2026","2","7","10","42","45","0000102","ＡＴＭ手数料","165","","475562",""
"2026","2","9","9","46","8","0000101","Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A040001","100000","","375562",""
"2026","2","9","14","28","30","0000201","セブンATM出金","30000","","345562",""
"2026","2","9","22","33","31","0000301","Ｅ－ｎｅｔＡＴＭ","50000","","295562",""
"2026","2","10","9","19","6","0000101","Vデビット　Ｎｅｘｔ　Ａｉｄ　1A041001","2750","","292812",""
"2026","2","10","9","36","5","0000201","Vデビット　Ｎｅｘｔ　Ａｉｄ　1A041002","7900","","284912",""
"2026","2","10","9","47","5","0000301","Vデビット　Ｎｅｘｔ　Ａｉｄ　1A041003","8800","","276112",""
"2026","2","10","13","26","17","0000401","Vデビット　EVERAI　1A041004","3895","","272217",""
"2026","2","10","14","40","57","0000501","セブンATM出金","10000","","262217",""
"2026","2","10","14","40","57","0000502","ＡＴＭ手数料","165","","262052",""
"2026","2","13","20","55","9","0000101","セブンATM出金","10000","","252052",""
"2026","2","13","20","55","9","0000102","ＡＴＭ手数料","165","","251887",""
"2026","2","14","4","29","40","0000101","Vデビット　ZOOM.COM 888-799-9666　1A045001","2484","","249403",""
"2026","2","14","17","19","23","0000201","Vデビット　ＡＤＳ８５４９１１４２３５　1A045002","50000","","199403",""
"2026","2","14","18","12","14","0000301","Ｅ－ｎｅｔＡＴＭ","10000","","189403",""
"2026","2","14","18","12","14","0000302","ＡＴＭ手数料","165","","189238",""
"2026","2","14","20","30","14","0000401","Vデビット　EVERAI　1A045003","1582","","187656",""
"2026","2","14","22","55","33","0000501","Vデビット　ｲｲﾈｾｲｷﾕｳｻｰﾋﾞｽ　1A045004","2893","","184763",""
"2026","2","15","16","53","33","0000101","Vデビット　DREAM STUDIO LLC　1A046002","3167","","181596",""
"2026","2","15","22","27","5","0000201","Vデビット　OPENAI *CHATGPT SUBSCR　1A046003","10456","","171140",""
"2026","2","16","1","14","39","0000101","Vデビット　オクトパスエナジー　1A047001","21059","","150081",""
"2026","2","16","18","36","19","0000201","セブンATM出金","15000","","135081",""
"2026","2","16","18","36","19","0000202","ＡＴＭ手数料","165","","134916",""
"2026","2","17","1","31","18","0000101","トヨタファイナンス（カブ）　　","61000","","73916",""
"2026","2","18","14","25","0","0000101","セブンATM出金","12000","","61916",""
"2026","2","18","14","25","0","0000102","ＡＴＭ手数料","165","","61751",""
"2026","2","19","14","26","24","0000101","セブンATM出金","7000","","54751",""
"2026","2","19","14","26","24","0000102","ＡＴＭ手数料","165","","54586",""
"2026","2","19","14","45","3","0000201","振込 オザワ　ムネヒロ","","70000","124586",""
"2026","2","19","15","10","16","0000301","Vデビット　GOOGLE*TEMPORARY HOLD　2A050001","200","","124386",""
"2026","2","19","15","10","27","0000401","Vデビット　ＡＤＳ１３６３７１９６４２　2A050002","100000","","24386",""
"2026","2","19","15","12","24","0000501","Vデビット　GOOGLE*TEMPORARY HOLD　2A050001","","200","24586",""
"2026","2","21","16","16","57","0000101","Vデビット　ＧＯＯＧＬＥ　ＧＯＯＧＬＥ　ＯＮＥ　2A052002","2900","","21686",""
"2026","2","23","10","50","7","0000101","セブンATM出金","20000","","1686",""
"2026","2","23","10","50","7","0000102","ＡＴＭ手数料","165","","1521",""
"2026","2","24","10","16","7","0000101","振込 サンケン（カ","","220000","221521",""
"2026","2","24","16","37","57","0000201","振込 カ）マサムネ","100000","","121521",""
"2026","2","24","16","37","57","0000202","振込手数料","145","","121376",""
"2026","2","25","9","39","49","0000101","振込 カ）ネクストエイド　．．．．．．．．．．．．．．．．ＮＴＴ","","4664","126040",""
"2026","2","25","12","58","1","0000201","Vデビット　ＡＤＳ１３６３７１９６４２　2A056001","100000","","26040",""
"2026","2","25","15","19","21","0000301","振込 カ）　エ－トラツク","","875054","901094",""
"2026","2","26","1","42","50","0000101","損害保険ジャパン株式会社　　　","7415","","893679",""
"2026","2","26","1","44","19","0000201","ＭＨＦ）ヤチンシユウノウ　　　","63240","","830439",""
"2026","2","27","1","50","0","0000101","ＮＳＳ．ＳＥＯキヨウカイカイヒ","8800","","821639",""
"2026","2","27","11","16","10","0000201","振込 サンケン．カ","","133951","955590",""
"2026","2","27","12","17","33","0000301","Ｅ－ｎｅｔＡＴＭ","55000","","900590",""
"2026","2","27","20","5","4","0000401","Vデビット　ココナラ　2A058001","123600","","776990",""
"2026","2","28","14","0","3","0000101","セブンATM出金","20000","","756990",""
"2026","2","28","14","0","3","0000102","ＡＴＭ手数料","165","","756825",""
"2026","3","1","0","15","56","0000101","決算お利息 2月分","","45","756870",""
"2026","3","1","14","0","49","0000201","セブンATM出金","15000","","741870",""
"2026","3","2","0","25","29","0000101","Vデビット　ＡＤＳ１３６３７１９６４２　2A061001","34395","","707475",""
"2026","3","2","0","35","16","0000201","Vデビット　PADDLE.NET* CHATAI WEB　2A061003","15000","","692475",""
"2026","3","2","0","35","42","0000301","Vデビット　ＧＯＯＧＬＥ　ＡＤＳ８５４９１１４２３５　2A061004","76674","","615801",""
"2026","3","2","14","10","27","0000401","Vデビット　CLAUDE.AI SUBSCRIPTION　2A061005","16107","","599694",""
"2026","3","3","23","30","2","0000101","Vデビット　FIGMA　1A062002","3300","","596394",""
"2026","3","4","20","8","12","0000101","Vデビット　ＭＩＣＲＯＳＯＦＴ＊ＳＴＯＲＥ　1A063003","2740","","593654",""
"2026","3","5","15","49","5","0000101","Vデビット　ｵﾅﾏｴﾄﾞﾂﾄｺﾑﾄﾞﾒｲﾝ　1A064003","1348","","592306",""
"2026","3","6","11","34","11","0000101","Vデビット　ＡＤＳ８５４９１１４２３５　1A065003","31246","","561060",""
"2026","3","6","19","11","28","0000201","Ｅ－ｎｅｔＡＴＭ","30000","","531060",""
"2026","3","7","19","40","55","0000101","Vデビット　ネットフリックス　1A066002","1145","","529915",""
"2026","3","9","15","48","2","0000101","Vデビット　ＡＤＳ１３６３７１９６４２　2A068001","100000","","429915",""
"2026","3","10","8","13","18","0000101","Vデビット　ｵｷﾅﾜﾁｭﾗｷｶｸ        (ﾗｸﾃﾝ　1A069001","3445","","426470",""
"2026","3","10","10","22","14","0000201","Vデビット　ﾆﾁｶﾞﾗｸﾃﾝｲﾁﾊﾞﾃﾝ    (ﾗｸﾃﾝ　1A069002","4490","","421980",""
"2026","3","10","12","41","39","0000301","セブンATM出金","70000","","351980",""
"2026","3","10","20","50","11","0000401","Vデビット　Ｎｅｘｔ　Ａｉｄ　1A069004","19450","","332530",""
"2026","3","12","22","26","34","0000101","セブンATM出金","100000","","232530",""
"2026","3","13","11","47","47","0000101","Vデビット　ＡＤＳ８５４９１１４２３５　2A072001","249","","232281",""
"2026","3","13","22","36","51","0000201","Vデビット　UBER *EATS HELP.UBER.COM　2A072003","1764","","230517",""
"2026","3","15","22","20","1","0000101","Vデビット　OPENAI *CHATGPT SUBSCR　1A074001","10869","","219648",""
"2026","3","16","3","56","13","0000101","Vデビット　ｵﾅﾏｴﾄﾞﾂﾄｺﾑﾄﾞﾒｲﾝ　1A075002","3870","","215778",""
"2026","3","16","11","26","11","0000201","Vデビット　ｵﾅﾏｴﾄﾞﾂﾄｺﾑﾄﾞﾒｲﾝ　1A075004","3870","","211908",""
"2026","3","17","1","57","45","0000101","Vデビット　ｵﾅﾏｴﾄﾞﾂﾄｺﾑﾄﾞﾒｲﾝ　1A076002","1674","","210234",""
"2026","3","17","9","17","29","0000201","トヨタファイナンス（カブ）　　","61000","","149234",""
"2026","3","17","14","59","3","0000301","Vデビット　NETLIFY　1A076004","3294","","145940",""
"2026","3","17","17","50","48","0000401","セブンATM出金","10000","","135940",""
"2026","3","17","17","50","48","0000402","ＡＴＭ手数料","165","","135775",""
"2026","3","18","14","36","54","0000101","Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A077001","100000","","35775",""
"2026","3","20","15","46","31","0000101","Vデビット　ＧＯＯＧＬＥ　ＧＯＯＧＬＥ　ＯＮＥ　2A079002","2900","","32875",""
"2026","3","20","23","57","11","0000201","Vデビット　ZOOM.COM 888-799-9666　1A079003","2484","","30391",""
"2026","3","25","13","31","30","0000101","セブンATM出金","30000","","391",""
"2026","3","25","15","44","14","0000201","振込 カ）　エ－トラツク","","874486","874877",""
"2026","3","26","1","43","15","0000101","損害保険ジャパン株式会社　　　","7415","","867462",""
"2026","3","26","1","43","15","0000201","損害保険ジャパン株式会社　　　","5065","","862397",""
"2026","3","26","1","43","15","0000301","損害保険ジャパン株式会社　　　","5065","","857332",""
"2026","3","26","1","44","41","0000401","ＭＨＦ）ヤチンシユウノウ　　　","63240","","794092",""
"2026","3","26","1","45","20","0000501","ミツイスミトモカ－ド　（カ　　","10500","","783592",""
"2026","3","27","1","48","3","0000101","ＡＰアプラス　　　　　　　　　","40687","","742905",""
"2026","3","27","1","51","29","0000201","ＮＳＳ．ＳＥＯキヨウカイカイヒ","8800","","734105",""
